step,total_loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss
1,0.8135970830917358,1.1923184394836426,2.6886377334594727,0.7912381291389465,0.6824575662612915,6.168249130249023
2,0.6381487250328064,0.7720189094543457,1.396925449371338,0.9398874044418335,0.6932159066200256,4.440196514129639
3,0.6178086400032043,2.0757253170013428,0.6553601026535034,0.9390332698822021,0.7075497508049011,4.995477199554443
4,0.3830970823764801,0.6924991011619568,0.7939334511756897,0.8221403360366821,0.6622792482376099,3.3539490699768066
5,0.555561900138855,0.6148874163627625,0.6439968943595886,0.6514639258384705,0.648061215877533,3.113971471786499
6,0.5952440500259399,0.6908179521560669,0.7230241894721985,0.6568598747253418,0.6078134775161743,3.273759365081787
7,0.4477548599243164,0.5964670777320862,0.6283478736877441,0.6794540882110596,0.5904954671859741,2.942519187927246
8,0.6180127263069153,0.7250468134880066,0.6484442949295044,0.7600672245025635,0.556651771068573,3.308223009109497
9,1.2224113941192627,0.9347831606864929,0.6048521399497986,0.8741975426673889,0.5307779312133789,4.167022228240967
10,0.4577938914299011,1.1912641525268555,0.46565279364585876,0.6355568766593933,0.5167837738990784,3.2670514583587646
11,0.3364253044128418,0.4113527238368988,0.5805588364601135,0.6033454537391663,0.44948726892471313,2.381169557571411
12,0.39684540033340454,0.377053827047348,0.6328455805778503,0.6590434312820435,0.44485950469970703,2.510647773742676
13,0.41982001066207886,0.34453943371772766,0.5507943034172058,0.6179457306861877,0.4561803340911865,2.389279842376709
14,0.41539058089256287,0.45254647731781006,0.6019984483718872,0.6534377932548523,0.40541502833366394,2.5287883281707764
15,0.5574113130569458,0.7844048738479614,0.5225348472595215,0.7310928106307983,0.42626526951789856,3.0217089653015137
16,0.49926596879959106,1.1037291288375854,0.476775586605072,0.6216714978218079,0.3455152213573456,3.046957492828369
17,0.5200704336166382,1.197414755821228,0.5127143263816833,0.6482441425323486,0.31779366731643677,3.196237325668335
18,0.17425774037837982,0.8752285838127136,0.3645108640193939,0.45691022276878357,0.2803564965724945,2.151263952255249
19,0.2001696079969406,0.2866673469543457,0.4237055778503418,0.6325011253356934,0.2771322429180145,1.8201758861541748
20,0.697860836982727,0.7556965351104736,0.5982187986373901,0.6539429426193237,0.40521240234375,3.110931396484375
